id,openai_ai_digital_score,openai_ai_digital_keywords,openai_ai_digital_reason,score_version
1.0,0.0,,岗位是银行保险渠道经理，主要涉及渠道维护、市场活动、客户经营和销售支持，没有明显的软件、数据、系统、AI或数字化技术要求。,expert_prompt_v1_one_ad_per_request
2.0,0.0,"技术开发, 项目管理, 技术支持",岗位主要是材料研发与工艺相关工作，未出现软件、数据、自动化、AI等数字技术关键词；“技术开发/项目管理”属于通用工程技术职责，不构成明显的数字化或AI内容。,expert_prompt_v1_one_ad_per_request
3.0,1.0,"发电机组, 高压/低压电工证, 工业配电, 电动机, 机电设备控制电路, 水电安装维修",岗位主要是水电安装、维修和工业配电等传统机电/电工工作，涉及基础电气设备和控制电路，但没有数据、软件或人工智能相关内容，因此评为1分。,expert_prompt_v1_one_ad_per_request
4.0,0.0,"培训, 课程安排, 销售培训, 导师",岗位内容主要是金融销售培训与课程安排，没有出现软件、数据、自动化、AI或其他数字技术相关要求，属于非AI/数字类岗位。,expert_prompt_v1_one_ad_per_request
5.0,2.0,"FPGA, 软硬件联调, 逻辑架构, 软件无线电（SDR）, 算法研发, Verilog/VHDL, Quartus II, ModelSim, 上位机软件",岗位以FPGA芯片开发、软硬件联调和上位机软件为主，属于较强的数字/IT硬件开发内容；虽提到算法研发，但未出现明确AI术语，因此不算3级AI。,expert_prompt_v1_one_ad_per_request
6.0,1.0,"软件工程师, 软件维护及升级, 应用软件开发, VC开发环境, MFC, Windows API, Windows消息机制",该岗位主要是传统软件开发与维护，涉及VC/MFC、Windows API等IT/软件技术，但没有数据分析、算法或人工智能相关内容，因此评为1。,expert_prompt_v1_one_ad_per_request
7.0,0.0,"ISO9000, 物业管理, 成本控制, 预算, 团队管理",岗位主要是住宅物业运营与管理，涉及质量体系、预算、成本控制和团队管理，但没有明显的软件、数据、自动化或AI相关内容。,expert_prompt_v1_one_ad_per_request
8.0,2.0,"量化评估, 量化/估值模型, 系统实现, 回测检验, 压力测试, MATLAB, 数学和统计软件",岗位核心是量化建模、回测和系统实现，明显属于数据/数字化与量化金融技术内容，但未出现人工智能、机器学习等明确AI表述。,expert_prompt_v1_one_ad_per_request
9.0,1.0,"ERP录入, office办公软件, 变更管理, 订单操作, 发货安排, 库存控制",岗位以销售助理和订单/库存/对账流程为主，涉及ERP和办公软件等基础数字化工具，但没有数据分析、编程或AI相关内容，因此评为1。,expert_prompt_v1_one_ad_per_request
10.0,1.0,质量数据收集及分析、设计软件包、技术交底、NCR调查分析,岗位以质量管理和工程技术为主，没有AI/算法等内容；但包含日常质量数据分析和设计软件包等基础数字化/IT相关工作，因此评为1。,expert_prompt_v1_one_ad_per_request
