id,公司名称,关联公司名称,岗位,岗位描述,岗位标签,待遇,学历,所在城市,发布时间
1,中国平安人寿保险股份有限公司广东分公司,中国平安人寿保险股份有限公司广东分公司,兴业银行渠道经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        因业务开拓，需招聘一批兴业银行保险渠道经理。对接兴业银行广州地区各个网点。新赛道、新机遇，用努力，让梦想发光！欢迎大家积极举荐！一经录用，公司将提供广阔的发展平台及福利待遇！（一）岗位职责1、银行渠道的维护，日常经营，相关培训辅导等；2、与银行支行或网点一同策划及组织市场活动、客户经营；3、达成公司考核指标及业绩要求，相关售前中后支持及服务工作；（二）平台优势1、广阔市场前景：客户投资需求趋向于长期稳健；2、强大公司实力：世界500强注重长期发展，全面系统的培训；3、优质客户资源：与银行强强联合科学资产配置；4、优厚薪酬机制：相对固薪+绩效提成+达标奖+方案奖+季度奖+年终奖，7大福利（节日问候津贴、生日津贴、降温取暖补贴，社保福利补贴等）和综合福利保障（二）任职要求1、本科及以上学历2、年龄在25-45周岁之间（有潜力、擅沟通本科及以上人才可放宽至21周岁）3、语言表达能力较好，具备较强的协调、公关、分析问题、解决问题的能力，有同业、销售管理、金融行业、银行从业经验的绩优人员优先4、具备一定的直接销售技能或潜力,销售<$&0007&$>银行<$&0007&$>金融行业<$&0007&$>公关<$&0007&$>市场活动<$&0007&$>客户经营<$&0007&$>培训辅导<$&0007&$>银行渠道维护<$&0007&$>保险渠道<$&0007&$>考核,1-2万,本科,广州市,2023-10-30 00:00:00
2,上海璞泰来新能源科技股份有限公司,上海璞泰来新能源科技股份有限公司,研发工程师,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>1.金属材料工程、高分子材料与工程、材料成型及控制等相关专业，本科以上学历，两年以上技术工作经验优先；   录取；2.在多层复合材料、化学钝化，表面处理，等领域具有工作经验者优先；3.具有良好的文字组织能力，能够熟练编写项目报告；4.负责产品的技术开发、项目管理及技术支持； 5.工作认真负责，严谨细致，有良好的创业精神和团队精神；身体健康，能适应出差和加班。  ,,,本科,东莞市,2016-11-28 00:00:00
3,嘉亨家化股份有限公司,嘉亨家化股份有限公司,水电工程师,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>          1、按照公司要求安装发电机组； 2、根据公司反映的发电机组状况及时诊断出发电机组故障并排除。     3、需持有高压、低压电工资格操作证书；4、需有三到五年工业配电操作相关工作经验；5、熟悉电动机及其它机电设备控制电路；6、熟悉工厂水电安装维修维护工作；7、有组织协调能力者优先；,电工证,4-6千/月,中技,泉州市,2020-06-23 00:00:00
4,中国平安人寿保险股份有限公司成都市金堂支公司淮口营销服务部,中国平安人寿保险股份有限公司成都市金堂支公司淮口营销服务部,金融销售培训讲师+周末双休,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责:1.负责公司，新人入司培训。2.完成课程安排。3.负责公司产品销售培训。4.能按时完成公司领导交代的任务。岗位要求:1.年龄:25岁-45岁2.学历:大专以及大专以上学历（有相关工作经验优先）3.工作认真，要有责任心.上进心.晋升机制：实习综合金融专员-正式综合金融专员-见习综合金融导师-初级综合金融导师-中级综合金融导师-高级综合金融导师-精英综合金融导师薪资及福利待遇:1.底薪+新人学习津贴+全勤+高额提成+课时费+季度奖+年终奖+达成奖励2.公司每年有旅游方案，完成任务就可以免费去旅游。3.公司每个季度会挑选优秀的员工去参加公司的导师培训学习。,产品培训<$&0007&$>入司培训<$&0007&$>课程安排<$&0007&$>销售<$&0007&$>管理<$&0007&$>培训<$&0007&$>导师,10-15万/年,大专,成都市,2023-03-27 00:00:00
5,成都天箭科技股份有限公司,成都天箭科技股份有限公司,FPGA开发工程师,"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责 1. 负责项目和产品的FPGA逻辑开发及软硬件联调工作；2. 负责项目和产品FPGA逻辑架构的设计工作，在原有FPGA代码基础上修改或重新编写控制软件无线电（SDR）芯片的部分代码； 3. 提出解决方案和组织算法研发工作的实施策略； 4. 负责项目和产品与逻辑相关的驱动流程文档的编写工作； 5. 负责FPGA配套的上位机的软件编写，同软、硬件设计人员一起完成项目。 任职要求： 1. 电子类相关专业在职研究生；2. 熟练掌握Verilog/VHDL, FPGA时序优化、资源优化方法； 3. 熟练使用Quartus II，Modelism等软件； 4. 熟悉Transceiver等高速接口，***有SDR（软件无线电）专业基础； 5. 从事过FPGA项目开发，特别对lime-SDR有一定了解。可转正、可提供实习证明。",芯片<$&0007&$>xilinx<$&0007&$>vhdl,4-7千,硕士,成都市,2022-07-10 00:00:00
6,北京耐威科技股份有限公司,北京耐威科技股份有限公司,软件工程师,描述：1、<$&0005&$>负责部门现有导航软件的维护及升级；2、<$&0005&$>参与卫星导航及惯性导航类应用软件的开发；3、<$&0005&$>参与部门软件项目的开发；4、<$&0005&$>完成开发软件中的各类文档的撰写；要求：1、<$&0005&$>计算机及相关专业专科以上学历，一年以上工作经验；2、<$&0005&$>熟悉VC开发环境，能够使用MFC进行开发工作；3、<$&0005&$>熟悉Windows API接口函数和Windows消息机制，能够使用外部类进行开发；4、<$&0005&$>工作认真敬业，能够适应团队开发工作；5、<$&0005&$>熟悉卫星导航或惯性导航相关知识的优先；6、<$&0005&$>参与过大型项目开发的优先；<$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>上班地址：北京市西城区<$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>,,面议,大专,西城区,2015-05-22 00:00:00
7,上海万科物业服务有限公司,上海万科物业服务有限公司,住宅物业项目经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        一、岗位职责1.履行《物业服务合同》规定的相关义务，维护小区环境、秩序、公共设施设备完好。2.根据公司质量方针和目标，贯彻ISO9000质量体系。3.负责小区物业费的收缴工作，充分调动各岗位人员以提高物业费收缴率。4.根据公司绩效考核制度，按时完成对本小区人员的绩效考核。5.加强小区装修管理，确保装修有序进行。6.负责本服务中心年度及月度财务收支预算和控制。7.组织开展各项节能减耗措施，通过减少各方面的开销实现成本控制。8.开展各种经营活动，丰富盈利渠道，增加小区收入。9.及时妥善处理各类投诉，处理好与业主（使用人）的关系。10.定期对小区业主和住户发放意见征询表，统计、分析、处理和回访。11.维护与房管局、街道、社区、派出所、业主委员会等相关部门的关系。12.定期组织各类社区活动，丰富业主的业余生活。13.加强与公司各职能部门的沟通、协调，做好相关工作。14.负责团队建设，制定团队建设计划，组织开展各项团队活动。15.完成领导安排的其他工作。二、任职要求1、物业管理相关专业。2、有物业管理工作经验。3、具有良好的沟通、协调、组织、应变等综合能力，能承受较大工作压力。4、具有较强的团队管理能力，有业委会组建、物业费提价经验优先考虑。5、具有较强的服务意识，责任心强。,物业管理<$&0007&$>成本控制<$&0007&$>团队管理<$&0007&$>团队建设<$&0007&$>物业服务<$&0007&$>物业费收缴<$&0007&$>物业费收缴率<$&0007&$>经营<$&0007&$>财务收支预算<$&0007&$>团队活动,1-1.3万·14薪,本科,,2023-10-10 00:00:00
8,光大证券股份有限公司,光大证券股份有限公司,市场风险量化评估岗（权益类证券及衍生品）,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责：对权益类证券及其衍生品投资组合进行量化评估，包括设计量化/估值模型、盯市评估、系统实现、回测检验、压力测试、策略评估、编制量化报告等工作。任职要求：1、金融工程、数学、统计学、金融学、计量经济学硕士且在有关领域3年以上工作经历；2、熟练掌握权益类证券及衍生品的在险值计算模型、模型局限、回测方法，能够独立进行投资组合的在险值计算及定期回测；熟悉期权、期货、结构性产品的定价、风险度量模型、希腊字母的应用方法；了解期权产品的品种，交易策略，能够用对期权产品进行独立定价，并且计算希腊字母；3、能够使用MATLAB或其他数学和统计软件；4、有FRM、CFA资格或相关工作经验者优先。,,,硕士,静安区,2016-04-05 00:00:00
9,广西天山电子股份有限公司,广西天山电子股份有限公司,销售助理（韩语）,1、订单操作：销售订单ERP录入，变更管理，发货安排，物流对接。2、订单交付：异常交付发生时，及时处理或无法处理时上报处理。3、库存控制：控制负责版块库存更新及异常库存处理。4、应收应付：对账开票及跟催应收款，控制呆账；安排对外支付费用申请。5、销售计划跟进：跟催接单情况，分析负责的客户达成情况。任职要求：1.全日制大专以上学历，专业不限，具有较好的韩语水平和口语能力优先；2.熟练使用office办公软件；3.具有良好的沟通协调能力，反应灵敏，有一定的抗压能力；工作积极主动，有责任心，具有团队合作精神,应收应付异常库存处理韩语库存控制变更管理订单交付对账开票订单操作发货安排erp录入,7千-1万·13薪,大专,深圳市,2025-03-19
10,苏州道森钻采设备股份有限公司,苏州道森钻采设备股份有限公司,质量工程师,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1. 协助体系工程师维护工厂质量体系；2.日常质量数据收集及分析；3.NCR调查分析及整改跟进；4. 协助设计工程师编制设计软件包；5.负责车间技术交底；6.其他质量、技术相关工作,,13-20万/月,本科,苏州市,2019-05-09 00:00:00
